trajectory,trajectory_path,frame,natoms,mini_pressure_bar,pressure_index,raw_index,rss_source_file,rss_source_path,minimized_source_path,raw_source_path,flat_sha256,minimized_sha256
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,30,9,0.0,0,30,000091.poscar,unary-Ta/Ta-00030-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00030-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00030.poscar,9dc5be4b2af90c01885175c3b060174dcb2823585abc7a4e55684e9ee27cf40e,9dc5be4b2af90c01885175c3b060174dcb2823585abc7a4e55684e9ee27cf40e
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,31,9,0.0,0,31,000094.poscar,unary-Ta/Ta-00031-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00031-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00031.poscar,2c39b8ecef5ae7ecb35cd1573901cc89a7319ff96277873e0294bc2fdd09552c,2c39b8ecef5ae7ecb35cd1573901cc89a7319ff96277873e0294bc2fdd09552c
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,32,9,0.0,0,32,000097.poscar,unary-Ta/Ta-00032-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00032-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00032.poscar,64a999b286a6481a6bb3dcdcede7ad92724e9e1c8aa2f30c04779d31d0c4dc7a,64a999b286a6481a6bb3dcdcede7ad92724e9e1c8aa2f30c04779d31d0c4dc7a
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,33,9,0.0,0,33,000100.poscar,unary-Ta/Ta-00033-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00033-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00033.poscar,f16f3db60ea802498a952238cbbd9332edee3f026815f078b4beeed9afefee43,f16f3db60ea802498a952238cbbd9332edee3f026815f078b4beeed9afefee43
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,34,9,0.0,0,34,000103.poscar,unary-Ta/Ta-00034-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00034-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00034.poscar,f6f5dda399c86e496040ed53f02ffabcd6f774a1ceffdd9ed9c80cf69a3189f4,f6f5dda399c86e496040ed53f02ffabcd6f774a1ceffdd9ed9c80cf69a3189f4
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,35,9,0.0,0,35,000106.poscar,unary-Ta/Ta-00035-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00035-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00035.poscar,a95270ccdb360be603d89a6610073f82634e4073d000bea2bb9f208cb99fd65f,a95270ccdb360be603d89a6610073f82634e4073d000bea2bb9f208cb99fd65f
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,36,9,0.0,0,36,000109.poscar,unary-Ta/Ta-00036-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00036-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00036.poscar,ca4745249f1cdccf5d5657ddfe855c1658bcf8bb2698fe794715b98068e4c971,ca4745249f1cdccf5d5657ddfe855c1658bcf8bb2698fe794715b98068e4c971
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,37,9,0.0,0,37,000112.poscar,unary-Ta/Ta-00037-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00037-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00037.poscar,44ca181b3653e4308677e81937c1797b5a49e693f3607c27bba83550eeff8849,44ca181b3653e4308677e81937c1797b5a49e693f3607c27bba83550eeff8849
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,38,9,0.0,0,38,000115.poscar,unary-Ta/Ta-00038-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00038-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00038.poscar,86949364cf0d0d9693aa1f39ab848b60ae5876e000b374307bc7924d6b57b21e,86949364cf0d0d9693aa1f39ab848b60ae5876e000b374307bc7924d6b57b21e
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,39,9,0.0,0,39,000118.poscar,unary-Ta/Ta-00039-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00039-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00039.poscar,cec87056f447fcd413ea9c812644adb53170231bf81ed717fb1d63bd0099b083,cec87056f447fcd413ea9c812644adb53170231bf81ed717fb1d63bd0099b083
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,40,9,0.0,0,40,000121.poscar,unary-Ta/Ta-00040-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00040-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00040.poscar,7565107f42ec2472d07cad9aa97b0055523bd983b20f58daa650e55f7e79a7a1,7565107f42ec2472d07cad9aa97b0055523bd983b20f58daa650e55f7e79a7a1
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,41,9,0.0,0,41,000124.poscar,unary-Ta/Ta-00041-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00041-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00041.poscar,765adc99c95fa4c8949f45cce0370fba88b1baf804febcc417be52f3ad43cb71,765adc99c95fa4c8949f45cce0370fba88b1baf804febcc417be52f3ad43cb71
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,42,9,0.0,0,42,000127.poscar,unary-Ta/Ta-00042-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00042-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00042.poscar,85157b07856a60eb8956563de8e7aa3d04f71d60b588b7734453f4da5c38a128,85157b07856a60eb8956563de8e7aa3d04f71d60b588b7734453f4da5c38a128
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,43,9,0.0,0,43,000130.poscar,unary-Ta/Ta-00043-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00043-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00043.poscar,7aa596e7b77dbee1529fdab5c710886036b4dd9b84980324076788073fcf8bb5,7aa596e7b77dbee1529fdab5c710886036b4dd9b84980324076788073fcf8bb5
